url,source,summary,title
https://www.lavoz.com.ar/ciudadanos/coronavirus-en-argentina-confirman-14014-positivos-mayor-cifra-desde-octubre,La Voz,"Coronavirus en Argentina: confirman 14.014 positivos, la mayor cifra desde octubre","Coronavirus en Argentina: confirman 14.014 positivos, la mayor cifra desde octubre"
https://www.lavoz.com.ar/sucesos/liberaron-por-falta-de-pruebas-a-pareja-del-militante-de-ucr-asesinado-en-santa-cruz,La Voz,Liberaron por falta de pruebas a la pareja del militante de la UCR asesinado en Santa Cruz,Liberaron por falta de pruebas a la pareja del militante de la UCR asesinado en Santa Cruz
https://www.ambito.com/politica/alejandra-gils-carbo/de-vedia-gils-carbo-habia-una-preocupacion-la-procuradora-porque-la-persecucion-era-muy-fuerte-n5180471,Ambito,"De Vedia sobre Gils Carbó: ""Había una preocupación hacia la procuradora porque la persecución era muy fuerte""","De Vedia sobre Gils Carbó: ""Había una preocupación hacia la procuradora porque la persecución era muy fuerte"""
https://www.ambito.com/deportes/san-lorenzo/encontro-un-poco-oxigeno-la-plata-n5180346,Ambito,San Lorenzo encontró un poco de oxígeno en La Plata,San Lorenzo encontró un poco de oxígeno en La Plata
https://www.clarin.com/economia/bonos-dolares-abren-baja-precisiones-gobierno-fmi_0_lgxsiWQLg.html,Clarin,Los bonos argentinos sumaron una nueva baja tras las definiciones del Gobierno sobre el FMI,Los bonos argentinos sumaron una nueva baja tras las definiciones del Gobierno sobre el FMI
https://www.clarin.com/politica/jueza-servini-declaro-inconstitucional-gratuidad-publicidad-electoral-medios-comunicacion_0_R5DAdYBct.html,Clarin,La jueza Servini declaró inconstitucional la gratuidad de la publicidad electoral en los medios de,La jueza Servini declaró inconstitucional la gratuidad de la publicidad electoral en los medios de
https://www.lanacion.com.ar/espectaculos/personajes/la-nueva-vida-de-gisela-bernal-eros-me-devolvio-la-esperanza-nid30032021/,La Nacion,La nueva vida de Gisela Bernal: “Eros me devolvió la esperanza”,La nueva vida de Gisela Bernal: “Eros me devolvió la esperanza”
https://www.mdzol.com/sociedad/2021/3/29/fuerte-aumento-de-casos-positivos-muertes-por-coronavirus-en-mendoza-148691.html,MDZOL,Fuerte aumento de casos positivos y muertes por coronavirus en Mendoza,Fuerte aumento de casos positivos y muertes por coronavirus en Mendoza
https://www.mdzol.com/sociedad/2021/3/29/pronostico-se-espera-un-leve-aumento-de-temperatura-para-este-martes-148704.html,MDZOL,Pronóstico: se espera un leve aumento de temperatura para este martes,Pronóstico: se espera un leve aumento de temperatura para este martes
https://www.mdzol.com/napsix/2021/3/29/la-estrella-mas-solidaria-compasiva-es-taylor-swift-un-angel-en-la-tierra-148578.html,MDZOL,"La estrella más solidaria y compasiva, ¿Es Taylor Swift un ángel en la tierra?","La estrella más solidaria y compasiva, ¿Es Taylor Swift un ángel en la tierra?"
https://www.mdzol.com/politica/2021/3/29/contramano-del-gobierno-un-experto-desaconsejo-el-teletrabajo-148680.html,MDZOL,"A contramano del Gobierno, un experto desaconsejó el teletrabajo","A contramano del Gobierno, un experto desaconsejó el teletrabajo"
https://www.mdzol.com/napsix/2021/3/29/la-rutina-que-convirtio-chris-evans-en-capitan-america-148697.html,MDZOL,La rutina que convirtió a Chris Evans en Capitán América,La rutina que convirtió a Chris Evans en Capitán América
https://www.mdzol.com/bbc-mundo/2021/3/29/george-floyd-quien-es-derek-chauvin-el-expolicia-acusado-de-la-muerte-del-afroestadounidense-148694.html,MDZOL,"George Floyd: quién es Derek Chauvin, el expolicía acusado de la muerte del afroestadounidense","George Floyd: quién es Derek Chauvin, el expolicía acusado de la muerte del afroestadounidense"
https://www.mdzol.com/politica/2021/3/29/vacunaron-la-familia-de-duhalde-para-no-tirar-las-dosis-148670.html,MDZOL,"Vacunaron a la familia de Duhalde para ""no tirar las dosis""","Vacunaron a la familia de Duhalde para ""no tirar las dosis"""
https://www.mdzol.com/deportes/2021/3/29/el-club-de-la-premier-league-que-se-metio-en-la-pelea-por-borre-148695.html,MDZOL,El club de la Premier League que se metió en la pelea por Borré,El club de la Premier League que se metió en la pelea por Borré
https://www.cadena3.com/noticia/turno-noche/sentido-recuerdo-de-companeros-y-amigos-de-daniel-diaz_287548,Cadena 3,Sentido recuerdo de compañeros y amigos de Daniel Díaz,Sentido recuerdo de compañeros y amigos de Daniel Díaz
https://www.cadena3.com/audio/turno-noche/el-ex-organizador-del-festival-de-tango-de-la-falda-recordo-a-daniel-diaz_832481,Cadena 3,El ex organizador del Festival de Tango de La Falda recordó a Daniel Díaz,El ex organizador del Festival de Tango de La Falda recordó a Daniel Díaz
https://www.cadena3.com/noticia/futbol/san-lorenzo-dio-el-golpe-y-vencio-a-estudiantes-en-la-plata_287509,Cadena 3,San Lorenzo dio el golpe y venció a Estudiantes en La Plata,San Lorenzo dio el golpe y venció a Estudiantes en La Plata
https://www.losandes.com.ar/sociedad/importante-salto-confirmaron-313-nuevos-casos-de-coronavirus-y-8-muertes-en-mendoza,Los Andes,Importante salto: confirmaron 313 nuevos casos de coronavirus y 8 muertes en Mendoza,Importante salto: confirmaron 313 nuevos casos de coronavirus y 8 muertes en Mendoza
