date	screen_name	text	fav	retweet	url	is_rt	followers_count	friends_count
Thu Oct 14 21:59:32 +0000 2021	mamahoracio	RT @DrCKambourian: En el #DebateCapital el candidato del FdT dijo que “a nadie le faltó una cama”. Lara murio en el piso, porque le faltó u…	0	2725	https://twitter.com/mamahoracio/status/1448770475145023489	False	48	13
Thu Oct 14 21:59:32 +0000 2021	lucremailhes	RT @SantoroLeandro: Arshak es un agente de la Policía de la Ciudad que está desaparecido hace 30 meses. ¿Les parece algo normal? ¿Alguna ve…	0	1821	https://twitter.com/lucremailhes/status/1448770472737337345	False	472	768
Thu Oct 14 21:59:27 +0000 2021	manuelmarried	#DebateCapital Solo una cosa: Milei fue el peor. Con amplio margen. Pese al nivel actual, la arena política te come cuando salís de la burbuja. Hasta me animo a decir que fue el único perdedor. A tomar la teta, él y su equipo.	2	0	https://twitter.com/manuelmarried/status/1448770453888245762	False	81	1287
Thu Oct 14 21:59:26 +0000 2021	ArgentoBalsero	"RT @marioraulnegri: Blanco sobre negro para los que todavía se hacen los distraídos:

Quirós o Ginés. Escuelas abiertas o cerradas. Turnos…"	0	887	https://twitter.com/ArgentoBalsero/status/1448770449115004967	False	4158	4723
Thu Oct 14 21:59:04 +0000 2021	quelaka16	RT @SantoroLeandro: Gracias a todos y todas por seguir el debate. Digámosle sí al trabajo, sí a la educación, sí a la producción, sí a la s…	0	1045	https://twitter.com/quelaka16/status/1448770358119706635	False	290	845
Thu Oct 14 21:59:04 +0000 2021	RobotinReloaded	"RT @KORTAZAR: PRIMERO MIRA EL VIDEO

O MIRA EL DEBATE COMPLETO

LUEGO VOTA Y APOYA A @SantoroLeandro 🇦🇷

POR ÚLTIMO COMPARTE PARA QUE TODOS…"	0	36	https://twitter.com/RobotinReloaded/status/1448770356966150145	False	9496	8145
Thu Oct 14 21:59:03 +0000 2021	Rocontinni	"que triste...
#DebateCapital https://t.co/zUe5dtHR5u"	0	0	https://twitter.com/Rocontinni/status/1448770353250115585	False	374	1738
Thu Oct 14 21:59:01 +0000 2021	adriana2366	RT @gracielaocana: Por esa Argentina peleamos ✊🏼 #DebateCapital @mariuvidal https://t.co/fjppWJ8fXv	0	64	https://twitter.com/adriana2366/status/1448770345696051212	False	1284	943
Thu Oct 14 21:58:59 +0000 2021	mariavi49447910	RT @ELCARA333_: Santoro perdió con Vidal , pero le ganó a Milei . No sabe más q hablar de economía y de memoria . Le sacas el libreto y fue…	0	33	https://twitter.com/mariavi49447910/status/1448770334694518785	False	3413	4982
Thu Oct 14 21:58:54 +0000 2021	LidiaNorOrtega	"RT @luisbremer: ""La biología dice que la vida se inicia con la concepción"" dice Milei respondiendo a @myriambregman por la pregunta que el…"	0	10	https://twitter.com/LidiaNorOrtega/status/1448770315073490947	False	358	57
Thu Oct 14 21:58:53 +0000 2021	Betrey62	RT @atlanticsurff: Mi ciela Myriam Bregman dice en el #DebateCapital que siempre está al lado de la víctimas, la misma Myriam Bregman que v…	0	3064	https://twitter.com/Betrey62/status/1448770308630986760	False	9306	6587
Thu Oct 14 21:58:50 +0000 2021	Homerotw11	RT @felipelahiteau: Santoro se olvidó de mostrar esto #DebateCapital https://t.co/v7UZuOCunO	0	861	https://twitter.com/Homerotw11/status/1448770299810488328	False	68	138
Thu Oct 14 21:58:46 +0000 2021	mosca_salvaje	RT @LucasDeJesusOk: Patinó Milei. No supo, siquiera, apegarse a reglas que pactaron entre los candidatos. Bregman, al igual que su carrera…	0	341	https://twitter.com/mosca_salvaje/status/1448770282118803456	False	308	330
Thu Oct 14 21:58:44 +0000 2021	LidiaNorOrtega	"RT @luisbremer: ""Tuvimos que presentar un amparo para que le den de comer a los pibes"" @myriambregman al gobierno de @horaciorlarreta y @ma…"	0	22	https://twitter.com/LidiaNorOrtega/status/1448770271964434433	False	358	57
Thu Oct 14 21:58:36 +0000 2021	Isabel_Bs_As	RT @DrCKambourian: En el #DebateCapital el candidato del FdT dijo que “a nadie le faltó una cama”. Lara murio en el piso, porque le faltó u…	0	2725	https://twitter.com/Isabel_Bs_As/status/1448770238808408076	False	4408	4574
Thu Oct 14 21:58:35 +0000 2021	RoFeMar	"RT @Chequeado: [NUEVO] Santoro: “El ATP le llegó a 2 de cada 3 empresas de la Ciudad”. Es #VERDADERO.

📌 El 65% de los empleadores de CABA…"	0	46	https://twitter.com/RoFeMar/status/1448770235679580160	False	43	179
Thu Oct 14 21:58:33 +0000 2021	0KELO	RT @martintetaz: Muy bien @mariuvidal ganando el #DebateCapital por goleada https://t.co/Re5j1mRvYG	0	589	https://twitter.com/0KELO/status/1448770227735572486	False	174	830
Thu Oct 14 21:58:33 +0000 2021	Sandram55247361	RT @felipelahiteau: Santoro se olvidó de mostrar esto #DebateCapital https://t.co/v7UZuOCunO	0	861	https://twitter.com/Sandram55247361/status/1448770227274072069	False	1187	1548
Thu Oct 14 21:58:30 +0000 2021	jonathanj2017	"RT @SergioChouza: jajajaja pero si Larreta acaba de poner DOS impuestos nuevos hace literalmente DIEZ meses, qué decís 🤌

#DebateCapital ht…"	0	683	https://twitter.com/jonathanj2017/status/1448770214599008262	False	274	452
Thu Oct 14 21:58:29 +0000 2021	maria52926280	RT @Chequeado: [NUEVO] Santoro, sobre el presupuesto educativo en la Ciudad: “Hace 10 años el presupuesto cae un punto por año”. Es #VERDAD…	0	417	https://twitter.com/maria52926280/status/1448770209922359296	False	756	1723
Thu Oct 14 21:58:24 +0000 2021	alicia_sbarbati	RT @SantoroLeandro: Desde que el macrismo gobierna la Ciudad, todos los años faltan 20 mil vacantes. Y aunque parezca increíble, su insensi…	0	1173	https://twitter.com/alicia_sbarbati/status/1448770190758580224	False	2144	2922
Thu Oct 14 21:58:23 +0000 2021	LidiaNorOrtega	"RT @luisbremer: ""Se comprometieron a hacer 3000 jardines de infantes y no llegaron a hacer 150"" @SantoroLeandro a @mariuvidal 
#DebateCapit…"	0	38	https://twitter.com/LidiaNorOrtega/status/1448770184672591872	False	358	57
Thu Oct 14 21:58:21 +0000 2021	StellaF60222419	RT @SantoroLeandro: Se fugaron un FMI. #DebateCapital https://t.co/p3TmQmwGc3	0	1793	https://twitter.com/StellaF60222419/status/1448770174555865106	False	13	135
Thu Oct 14 21:58:20 +0000 2021	chichihit	RT @atlanticsurff: Mi ciela Myriam Bregman dice en el #DebateCapital que siempre está al lado de la víctimas, la misma Myriam Bregman que v…	0	3064	https://twitter.com/chichihit/status/1448770171557064704	False	64	183
Thu Oct 14 21:58:18 +0000 2021	SilviaMazzini3	RT @felipelahiteau: Santoro se olvidó de mostrar esto #DebateCapital https://t.co/v7UZuOCunO	0	861	https://twitter.com/SilviaMazzini3/status/1448770164456001536	False	93	270
Thu Oct 14 21:58:15 +0000 2021	DechiaraSilvia1	RT @DrCKambourian: En el #DebateCapital el candidato del FdT dijo que “a nadie le faltó una cama”. Lara murio en el piso, porque le faltó u…	0	2725	https://twitter.com/DechiaraSilvia1/status/1448770150312775681	False	7	55
Thu Oct 14 21:58:09 +0000 2021	LidiaNorOrtega	"RT @luisbremer: ""Los 3000% de tarifazo en la energía es por poner al gerente de Shell en la secretaria de energía"" @SantoroLeandro 
#Debate…"	0	22	https://twitter.com/LidiaNorOrtega/status/1448770123851091976	False	358	57
Thu Oct 14 21:58:07 +0000 2021	CandeRugiero	"RT @_arielitoo: De un lado la catadora de vino
Del otro el catador de falacias

Basta! No queremos ni facho ni antiderechos
#MyriamAlCongre…"	0	11	https://twitter.com/CandeRugiero/status/1448770118176030725	False	477	1454
Thu Oct 14 21:58:00 +0000 2021	lucremailhes	RT @SantoroLeandro: Desde que el macrismo gobierna la Ciudad, todos los años faltan 20 mil vacantes. Y aunque parezca increíble, su insensi…	0	1173	https://twitter.com/lucremailhes/status/1448770090158080005	False	472	768
Thu Oct 14 21:57:48 +0000 2021	anvesep	RT @SantoroLeandro: Arshak es un agente de la Policía de la Ciudad que está desaparecido hace 30 meses. ¿Les parece algo normal? ¿Alguna ve…	0	1821	https://twitter.com/anvesep/status/1448770038211624968	False	2451	2118
Thu Oct 14 21:57:30 +0000 2021	emscolnik	RT @SantoroLeandro: Arshak es un agente de la Policía de la Ciudad que está desaparecido hace 30 meses. ¿Les parece algo normal? ¿Alguna ve…	0	1821	https://twitter.com/emscolnik/status/1448769963007922177	False	2278	2981
Thu Oct 14 21:57:25 +0000 2021	aliba68	RT @gracielaocana: Por esa Argentina peleamos ✊🏼 #DebateCapital @mariuvidal https://t.co/fjppWJ8fXv	0	64	https://twitter.com/aliba68/status/1448769942363389964	False	1032	2445
Thu Oct 14 21:57:22 +0000 2021	Mariateresitab5	RT @DrCKambourian: En el #DebateCapital el candidato del FdT dijo que “a nadie le faltó una cama”. Lara murio en el piso, porque le faltó u…	0	2725	https://twitter.com/Mariateresitab5/status/1448769927536680963	False	835	729
Thu Oct 14 21:57:20 +0000 2021	SIARGENTINA2011	RT @alefinocchiaro: Como dijo @mariuvidal: “Este #14N vas a tener que elegir entre un país que libera presos y arma una justicia paralela o…	0	396	https://twitter.com/SIARGENTINA2011/status/1448769921694015491	False	3637	3712
