Posición	Jugador	Club	Puntos	Categoria
318	Nemeth, Jozsef                     	CTDM Pato Nizetich            	541	7
319	Elizarraga, Eduardo                	CPCN Villa Gesell             	539	7
320	Barmak, Martin                     	Atlanta                       	533	7
321	Del Roio, Agustin                  	Fenix                         	529	7
322	Puig, Pedro                        	Spin TDM                      	528	7
323	Gomez, Marcelo L.                  	CAVA                          	528	7
324	Kaladjian, Leonardo                	Inst.Atlet. Cultural          	523	7
325	Rolando, Juan                      	Libre                         	521	7
326	Marcial, Luca Valentino            	AsociacionYabrudense          	520	7
327	Falcon, Francisco                  	Tigre TDM                     	517	7
328	Miño, Angel                        	Tigre TDM                     	517	7
329	Mandel, Mario                      	Top Minc                      	514	7
330	Camarero, Ludmila                  	Def. Santos Lugares           	513	7
331	Andrade, Facundo                   	Alvear Club                   	511	7
332	Rodriguez, Santiago                	Tigre TDM                     	508	7
333	Garbini Camiña, Franco             	Libertad                      	506	7
334	Baez, Federico                     	Tigre TDM                     	496	7
335	Agrelo Brito, Luis E.              	Atlanta                       	496	7
336	Baudino, Macarena                  	Def. Santos Lugares           	496	7
337	Soto, Martina                      	Gimnasty                      	491	7
338	Morales, Ricardo                   	Libre                         	490	7
339	Majul, Fabio D.                    	Jorge Newbery TDM             	480	7
340	Jimenez, Nicolas M.                	Jorge Newbery TDM             	480	7
341	Molina, Juan Martin                	Fenix                         	479	7
342	Coronel, Tiara D.                  	Lourdes                       	468	7
343	Romio, Gustavo                     	Instituto Cia. Maria          	466	7
344	Gordillo, Marcos J.                	Club Italiano JCPaz           	465	7
345	Prosperi, Tobias                   	Gimnasty                      	463	7
346	Teves, Cristian                    	Jorge Newbery TDM             	459	7
347	Reggiardo, Carolina                	TMR                           	436	7
348	Colombo, Hernan J.                 	Tigre TDM                     	425	7
349	Aldecader, Pablo                   	U.V.V.A.                      	424	7
350	Suarez, Franco E.                  	Club Italiano JCPaz           	424	7
351	Huaranca Castillo, Irene T.        	San Lorenzo                   	422	7
352	Huertas Bustos, Lucia              	Alvear Club                   	409	7
353	Vulcano, Julio Cesar               	Alvear Club                   	403	7
