date	screen_name	text	fav	retweet	url	is_rt	followers_count	friends_count
Thu Oct 21 15:36:50 +0000 2021	ArzamendiaCelso	"RT @Marta0061: #DebateBuenosAires 

De verdad, Victoria Tolosa Paz quiere hablar de Seguridad en la Provincia de Buenos Aires, de verdad !?…"	0	52	https://twitter.com/ArzamendiaCelso/status/1451210879047909377	False	208	318
Thu Oct 21 15:36:46 +0000 2021	ElTigreSueldo	RT @diegosantilli: En noviembre, hay que volver a decir BASTA. Un basta potente, con más fuerza y más esperanza. Podrán regalar bicicletas,…	0	58	https://twitter.com/ElTigreSueldo/status/1451210864053342209	False	1343	1853
Thu Oct 21 15:36:42 +0000 2021	belfortsorete	"RT @BonelliOK: En el #DebateBuenosAires, Espert llamó ""junta militar"" a las reuniones entre los principales mandatarios durante el inicio d…"	0	80	https://twitter.com/belfortsorete/status/1451210845019594753	False	668	1037
Thu Oct 21 15:36:41 +0000 2021	VeronicaDelfi18	RT @MardelBanquemos: Resumen del #DebateBuenosAires https://t.co/dMbVh4LTyu	0	36	https://twitter.com/VeronicaDelfi18/status/1451210841521459202	False	783	695
Thu Oct 21 15:36:34 +0000 2021	Claudia43342509	RT @Nikgaturro: Habló Del Caño y se me puso el televisor en blanco y negro. #DebateBuenosAires	0	337	https://twitter.com/Claudia43342509/status/1451210812169719814	False	370	699
Thu Oct 21 15:36:31 +0000 2021	Ivan78229914	"RT @todonoticias: 💬 ""NO TE VAYAS DE LA ARGENTINA, TE VAMOS A PROPONER UN FUTURO LIBERAL"" | El minuto de cierre de José Luis Espert en #Deba…"	0	223	https://twitter.com/Ivan78229914/status/1451210797733064705	False	89	195
Thu Oct 21 15:36:24 +0000 2021	Ariel67862723	RT @ContadorMacri: La candidata del frente de todos para Diputada Nacional por la Provincia de Buenos Aires, Victoria Tolosa Paz @vtolosapa…	0	639	https://twitter.com/Ariel67862723/status/1451210771980079111	False	1131	1315
Thu Oct 21 15:36:24 +0000 2021	fridaytrotsky	RT @vtolosapaz: La oposición fue irresponsable y eso te puso en riesgo. Organizaron campañas de desinformación, dijeron que la vacuna era v…	0	70	https://twitter.com/fridaytrotsky/status/1451210771963076621	False	3489	3177
Thu Oct 21 15:36:21 +0000 2021	ineine062	RT @TotyFlores: Así es @diegosantilli, los bonaerenses, sobre todo los matanceros, este 14 de noviembre queremos decir BASTA al clientelism…	0	85	https://twitter.com/ineine062/status/1451210758738653186	False	4081	3467
Thu Oct 21 15:36:21 +0000 2021	EOS77D	"RT @deperoncho: Para vos, ¿quién ganó el #DebateBuenosAires?

(Perdón que no agrego a Randazzo y a Hotton, sólo me permite 4 opciones, y pu…"	0	55	https://twitter.com/EOS77D/status/1451210757815762951	False	199	241
Thu Oct 21 15:36:19 +0000 2021	juancnegri51	"RT @EzequielSalasOk: Qué mujer Victoria Tolosa Paz! Llenándole la cara de dedos a Santilli! Qué mujer! ❤
#DebateBuenosAires https://t.co/HZ…"	0	106	https://twitter.com/juancnegri51/status/1451210747636109316	False	2844	3668
Thu Oct 21 15:36:12 +0000 2021	lucianoarcemg	RT @DeloElmo: Tiene la palabra Tolosa Paz: #DebateBuenosAires https://t.co/o1iQrTkmM5	0	392	https://twitter.com/lucianoarcemg/status/1451210719320547330	False	513	518
Thu Oct 21 15:36:12 +0000 2021	Lincolnbat	"RT @SergioChouza: La gestión macrista de @mariuvidal en la Provincia fue tan paupérrima que Santilli ni la reconoce como propia.

Insólito.…"	0	262	https://twitter.com/Lincolnbat/status/1451210718217490432	False	4826	5172
Thu Oct 21 15:36:10 +0000 2021	Mariano_Mani	RT @Nikgaturro: La táctica de Tolosa Paz: “Nunca respondas lo que te preguntan, decí cualquier otra cosa”. Parecido a lo que le hacen a la…	0	1506	https://twitter.com/Mariano_Mani/status/1451210712139829251	False	171	187
Thu Oct 21 15:36:08 +0000 2021	Tanu36860012	"RT @jlespert: ""En estos segundos que me quedan quiero dirigirme a vos, clase media argentina, que te arruinan la vida a diario. Nosotros so…"	0	735	https://twitter.com/Tanu36860012/status/1451210702274826248	False	53	272
Thu Oct 21 15:36:06 +0000 2021	keienburg10	"RT @jlespert: ""Hoy les vengo a hablar de los problemas que nos aquejan a todos, problemas causados por toda esta clase política que me acom…"	0	996	https://twitter.com/keienburg10/status/1451210693064097797	False	0	0
