date	screen_name	text	fav	retweet	url
Thu Oct 14 05:05:29 +0000 2021	ISVLopez	"RT @MechiDemen: Escucho a Santoro y no sé quién gobierna....a son ellos en Frente de Todos 
#DebateCapital"	0	10	https://twitter.com/ISVLopez/status/1448515281970597893
Thu Oct 14 05:05:29 +0000 2021	LautaroFlorent3	"RT @Sebapintor_: Resumen del debate:
Santoro: AH PERO MACRI
Vidal: AH PERO EL KIRCHNERISMO
Bregman: AH PERO MILEI
Milei: *Tira datos*
Moder…"	0	431	https://twitter.com/LautaroFlorent3/status/1448515278590124036
Thu Oct 14 05:05:29 +0000 2021	Merce20211	"RT @boostich: Santoro: ""durante la pandemia no le faltó a nadie una cama"".
Lara: 

#DebateCapital #MileiContraTodos https://t.co/hpMYNa2iUR"	0	444	https://twitter.com/Merce20211/status/1448515278233604099
Thu Oct 14 05:05:27 +0000 2021	MindiQ74	RT @vtolosapaz: Felicitaciones @SantoroLeandro por tu coherencia, honestidad y pasión al exponer las ideas y proyectos del @FrenteDeTodos.…	0	503	https://twitter.com/MindiQ74/status/1448515271400984577
Thu Oct 14 05:05:27 +0000 2021	Gabar1945	RT @PlagaPosadas: Como empezó / Cómo terminó #DebateCapital https://t.co/IZURJIyIj9	0	13	https://twitter.com/Gabar1945/status/1448515269845032961
Thu Oct 14 05:05:25 +0000 2021	santyricon	"RT @valeriafgl: No dejen correr esta fake news. 

#MyriamAlCongreso #DebateCapital https://t.co/xEsJMAFnWf"	0	24	https://twitter.com/santyricon/status/1448515263024939014
Thu Oct 14 05:05:25 +0000 2021	ElsaNZam	RT @SantoroLeandro: Se fugaron un FMI. #DebateCapital https://t.co/p3TmQmwGc3	0	1514	https://twitter.com/ElsaNZam/status/1448515261049540608
Thu Oct 14 05:05:22 +0000 2021	FedeRob22	"Marihuana, aborto, feminismo, FMI, trabajar menos y cobrar mas, lxs docentes, les trabajadorxs blablabla.

Pero nos regaló el momento mas divertido de la noche: ""zurdos de mierda, van a correr"".  Gracias Myriam, lo q no pudo decir Milei, lo dijiste vos. 
#DebateCapital"	1	0	https://twitter.com/FedeRob22/status/1448515252539232260
Thu Oct 14 05:05:21 +0000 2021	Strin00680351	RT @SantoroLeandro: Gracias a todos y todas por seguir el debate. Digámosle sí al trabajo, sí a la educación, sí a la producción, sí a la s…	0	819	https://twitter.com/Strin00680351/status/1448515246969266176
Thu Oct 14 05:05:21 +0000 2021	ISVLopez	"RT @MechiDemen: 300 de las 500 hectáreas que el PRO privatizó en la Ciudad conto con los votos del peronismo 
Para enfrentar la especulació…"	0	11	https://twitter.com/ISVLopez/status/1448515246742638598
Thu Oct 14 05:05:21 +0000 2021	Alma9118	"RT @Jeremiasmules: #DebateCapital ""Uno de los grandes méritos de que existan los debates es que es absolutamente igualador. Lo más democrát…"	0	4	https://twitter.com/Alma9118/status/1448515245782167555
Thu Oct 14 05:05:20 +0000 2021	hrubini	RT @VictorGinesMuo1: #DebateCapital Si Milei no les daba la mano era un maleducado, si gritaba un irrespetuoso.Pero ellos hicieron todo eso…	0	497	https://twitter.com/hrubini/status/1448515241638203394
Thu Oct 14 05:05:19 +0000 2021	exprohipocritas	RT @VictorGinesMuo1: #DebateCapital Si Milei no les daba la mano era un maleducado, si gritaba un irrespetuoso.Pero ellos hicieron todo eso…	0	497	https://twitter.com/exprohipocritas/status/1448515237804642305
Thu Oct 14 05:05:16 +0000 2021	MariaM97_	"RT @Lautarongo_: #DebateCapital
Myriam Bregman: Javier Milei nos dice zurdos de mierda
Milei: Es lo que son https://t.co/TaERbRJe8l"	0	165	https://twitter.com/MariaM97_/status/1448515224236171264
Thu Oct 14 05:05:13 +0000 2021	ISVLopez	RT @MechiDemen: Vidal y Santoro se pelean para ver quién hundió mas al país, si Macri o el peronismo. Chiques déjenlo ahí lo hicieron entre…	0	11	https://twitter.com/ISVLopez/status/1448515211988590594
Thu Oct 14 05:05:12 +0000 2021	dickychb10	"RT @Mati_C04: #DebateCapital 

Javier Milei: h

Myriam Bregman en cada momento: https://t.co/e0IbMnRb1n"	0	281	https://twitter.com/dickychb10/status/1448515206586331143
Thu Oct 14 05:05:09 +0000 2021	Susanaotta	RT @babyaetchecopar: María Eugenia Vidal propuso que todos los candidatos pidan la renuncia a Aníbal Fernández.  “Cruzó un límite y no pued…	0	1253	https://twitter.com/Susanaotta/status/1448515196901801984
Thu Oct 14 05:05:08 +0000 2021	MattiasLl	RT @SantoroLeandro: Arshak es un agente de la Policía de la Ciudad que está desaparecido hace 30 meses. ¿Les parece algo normal? ¿Alguna ve…	0	1588	https://twitter.com/MattiasLl/status/1448515192388788225
Thu Oct 14 05:05:08 +0000 2021	conejopink02	RT @babyaetchecopar: Dale Rt si queres que Anibal Fernández renuncie y nunca más ejerza un cargo público. #DebateCapital	0	802	https://twitter.com/conejopink02/status/1448515190241202177
Thu Oct 14 05:05:07 +0000 2021	Lugonzalezdiezz	"RT @ToroCabron_: -Santoro: ""Ah pero Macri""
-Milei: ""La casta""
-Bregman: ""Ñam fri frufi fali fru""
-Vidal: ""Datos y hechos""

#DebateCapital"	0	385	https://twitter.com/Lugonzalezdiezz/status/1448515189276614658
