year	combustible	region	m3
2006	P_DIESEL_INVERNAL	CL-LL	0
2006	P_DIESEL_INVERNAL	CL-AI	0
2006	P_DIESEL_INVERNAL	CL-MA	0
2006	P_DIESEL_INVERNAL	CL-LR	0
2006	P_DIESEL_INVERNAL	CL-AP	0
2007	GASOLINA_93	CL-TA	0
2007	GASOLINA_93	CL-AN	0
2007	GASOLINA_93	CL-AT	0
2007	GASOLINA_93	CL-CO	0
2007	GASOLINA_93	CL-AR	0
2007	GASOLINA_93	CL-RM	0
2007	GASOLINA_93	CL-VS	0
2007	GASOLINA_93	CL-LI	0
2007	GASOLINA_93	CL-ML	0
2007	GASOLINA_93	CL-BI	1
2007	GASOLINA_93	CL-LL	0
2007	GASOLINA_93	CL-AI	0
2007	GASOLINA_93	CL-MA	0
2007	GASOLINA_93	CL-LR	0
2007	GASOLINA_93	CL-AP	0
2007	GASOLINA_93_SP	CL-TA	36222
2007	GASOLINA_93_SP	CL-AN	55267
2007	GASOLINA_93_SP	CL-AT	25995
2007	GASOLINA_93_SP	CL-CO	61551
2007	GASOLINA_93_SP	CL-AR	63259
2007	GASOLINA_93_SP	CL-RM	632684
2007	GASOLINA_93_SP	CL-VS	148100
2007	GASOLINA_93_SP	CL-LI	62642
2007	GASOLINA_93_SP	CL-ML	76200
2007	GASOLINA_93_SP	CL-BI	146048
2007	GASOLINA_93_SP	CL-LL	102370
2007	GASOLINA_93_SP	CL-AI	9776
2007	GASOLINA_93_SP	CL-MA	20454
2007	GASOLINA_93_SP	CL-LR	0
2007	GASOLINA_93_SP	CL-AP	0
2007	GASOLINA_95_SP	CL-TA	11667
2007	GASOLINA_95_SP	CL-AN	20573
2007	GASOLINA_95_SP	CL-AT	15059
2007	GASOLINA_95_SP	CL-CO	34145
2007	GASOLINA_95_SP	CL-AR	41201
2007	GASOLINA_95_SP	CL-RM	375122
2007	GASOLINA_95_SP	CL-VS	98534
2007	GASOLINA_95_SP	CL-LI	51144
2007	GASOLINA_95_SP	CL-ML	47352
2007	GASOLINA_95_SP	CL-BI	88934
2007	GASOLINA_95_SP	CL-LL	54464
2007	GASOLINA_95_SP	CL-AI	1515
2007	GASOLINA_95_SP	CL-MA	1769
2007	GASOLINA_95_SP	CL-LR	0
2007	GASOLINA_95_SP	CL-AP	0
2007	GASOLINA_97_SP	CL-TA	28395
2007	GASOLINA_97_SP	CL-AN	36605
2007	GASOLINA_97_SP	CL-AT	15024
2007	GASOLINA_97_SP	CL-CO	33279
2007	GASOLINA_97_SP	CL-AR	21772
2007	GASOLINA_97_SP	CL-RM	438899
2007	GASOLINA_97_SP	CL-VS	81930
2007	GASOLINA_97_SP	CL-LI	32889
2007	GASOLINA_97_SP	CL-ML	25986
2007	GASOLINA_97_SP	CL-BI	58669
2007	GASOLINA_97_SP	CL-LL	34835
2007	GASOLINA_97_SP	CL-AI	4038
2007	GASOLINA_97_SP	CL-MA	5479
2007	GASOLINA_97_SP	CL-LR	0
2007	GASOLINA_97_SP	CL-AP	0
2007	GASOLINA_AVIACION_1000130	CL-TA	620
2007	GASOLINA_AVIACION_1000130	CL-AN	125
2007	GASOLINA_AVIACION_1000130	CL-AT	54
2007	GASOLINA_AVIACION_1000130	CL-CO	10
2007	GASOLINA_AVIACION_1000130	CL-AR	234
2007	GASOLINA_AVIACION_1000130	CL-RM	1687
2007	GASOLINA_AVIACION_1000130	CL-VS	587
2007	GASOLINA_AVIACION_1000130	CL-LI	117
2007	GASOLINA_AVIACION_1000130	CL-ML	289
2007	GASOLINA_AVIACION_1000130	CL-BI	330
2007	GASOLINA_AVIACION_1000130	CL-LL	1076
2007	GASOLINA_AVIACION_1000130	CL-AI	197
2007	GASOLINA_AVIACION_1000130	CL-MA	81
2007	GASOLINA_AVIACION_1000130	CL-LR	0
2007	GASOLINA_AVIACION_1000130	CL-AP	0
2007	KEROSENE_AVIACION	CL-TA	50019
2007	KEROSENE_AVIACION	CL-AN	44745
2007	KEROSENE_AVIACION	CL-AT	5744
2007	KEROSENE_AVIACION	CL-CO	5364
2007	KEROSENE_AVIACION	CL-AR	6135
2007	KEROSENE_AVIACION	CL-RM	721449
2007	KEROSENE_AVIACION	CL-VS	9736
2007	KEROSENE_AVIACION	CL-LI	95
2007	KEROSENE_AVIACION	CL-ML	507
2007	KEROSENE_AVIACION	CL-BI	16310
2007	KEROSENE_AVIACION	CL-LL	32232
2007	KEROSENE_AVIACION	CL-AI	1505
2007	KEROSENE_AVIACION	CL-MA	24910
2007	KEROSENE_AVIACION	CL-LR	0
2007	KEROSENE_AVIACION	CL-AP	0
2007	KEROSENE_DOMESTICO	CL-TA	1843
2007	KEROSENE_DOMESTICO	CL-AN	14187
2007	KEROSENE_DOMESTICO	CL-AT	144
2007	KEROSENE_DOMESTICO	CL-CO	526
2007	KEROSENE_DOMESTICO	CL-AR	2616
2007	KEROSENE_DOMESTICO	CL-RM	86390
2007	KEROSENE_DOMESTICO	CL-VS	5360
2007	KEROSENE_DOMESTICO	CL-LI	8261
2007	KEROSENE_DOMESTICO	CL-ML	8137
2007	KEROSENE_DOMESTICO	CL-BI	11490
2007	KEROSENE_DOMESTICO	CL-LL	3888
2007	KEROSENE_DOMESTICO	CL-AI	736
2007	KEROSENE_DOMESTICO	CL-MA	1
2007	KEROSENE_DOMESTICO	CL-LR	0
2007	KEROSENE_DOMESTICO	CL-AP	0
2007	P_COMBUSTIBLE_180	CL-TA	26046
2007	P_COMBUSTIBLE_180	CL-AN	29645
2007	P_COMBUSTIBLE_180	CL-AT	258630
2007	P_COMBUSTIBLE_180	CL-CO	298
2007	P_COMBUSTIBLE_180	CL-AR	436
2007	P_COMBUSTIBLE_180	CL-RM	5313
2007	P_COMBUSTIBLE_180	CL-VS	1074725
2007	P_COMBUSTIBLE_180	CL-LI	0
2007	P_COMBUSTIBLE_180	CL-ML	478
2007	P_COMBUSTIBLE_180	CL-BI	135174
2007	P_COMBUSTIBLE_180	CL-LL	11412
2007	P_COMBUSTIBLE_180	CL-AI	0
2007	P_COMBUSTIBLE_180	CL-MA	0
2007	P_COMBUSTIBLE_180	CL-LR	0
2007	P_COMBUSTIBLE_180	CL-AP	0
2007	P_COMBUSTIBLE_5	CL-TA	128
2007	P_COMBUSTIBLE_5	CL-AN	21
2007	P_COMBUSTIBLE_5	CL-AT	0
2007	P_COMBUSTIBLE_5	CL-CO	2802
2007	P_COMBUSTIBLE_5	CL-AR	2953
2007	P_COMBUSTIBLE_5	CL-RM	78548
2007	P_COMBUSTIBLE_5	CL-VS	23656
